MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
367060190,2016-01-01T00:07:52,21.31023,-157.86927,0.0,148.8,511.0,"PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52
367060190,2016-01-01T00:09:00,21.31022,-157.86927,0.0,178.3,511.0,PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52",,,,,,,,
367060190,2016-01-01T00:14:32,21.31023,-157.86928,0.0,139.9,511.0,"PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52
367060190,2016-01-01T00:17:50,21.31027,-157.86931,0.0,179.6,511.0,PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52",,,,,,,,
367309860,2016-01-01T00:24:13,21.30995,-157.87022,0.0,0.0,303.0,NAMAHOE,IMO9162863,WDD9321,1025,under way using engine,32.64,11.27,4.5,31
367060190,2016-01-01T00:32:21,21.31025,-157.86928,0.0,-91.3,511.0,"PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52
367309860,2016-01-01T00:39:53,21.30996,-157.87021,0.0,0.0,303.0,NAMAHOE,IMO9162863,WDD9321,1025,under way using engine,32.64,11.27,4.5,31
367060190,2016-01-01T00:40:28,21.31026,-157.86927,0.0,168.0,511.0,PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52",,,,,,,,
367060190,2016-01-01T00:41:31,21.31027,-157.86926,0.0,193.0,511.0,"PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52
367309860,2016-01-01T00:43:13,21.30996,-157.87021,0.0,0.0,303.0,NAMAHOE,IMO9162863,WDD9321,1025,under way using engine,32.64,11.27,4.5,31
367060190,2016-01-01T00:47:02,21.31028,-157.86929,0.0,46.7,511.0,PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52",,,,,,,,
367060190,2016-01-01T00:48:13,21.31027,-157.86928,0.0,198.8,511.0,"PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52
367060190,2016-01-01T00:49:20,21.31026,-157.86928,0.0,126.4,511.0,PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52",,,,,,,,
367060190,2016-01-01T00:52:43,21.31027,-157.86928,0.0,127.6,511.0,"PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52
367309860,2016-01-01T01:11:15,21.30999,-157.87019,0.0,0.0,303.0,NAMAHOE,IMO9162863,WDD9321,1025,under way using engine,32.64,11.27,4.5,31
367060190,2016-01-01T00:03:21,21.31021,-157.86928,0.0,150.5,511.0,PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52",,,,,,,,
367309860,2016-01-01T00:07:13,21.30994,-157.87021,0.0,0.0,303.0,NAMAHOE,IMO9162863,WDD9321,1025,under way using engine,32.64,11.27,4.5,31
367060190,2016-01-01T00:11:11,21.31023,-157.86929,0.0,151.9,511.0,"PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52
367060190,2016-01-01T00:15:33,21.31024,-157.86928,0.0,89.3,511.0,PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52",,,,,,,,
367060190,2016-01-01T00:18:51,21.31026,-157.86930,0.0,128.2,511.0,"PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52
367060190,2016-01-01T00:21:03,21.31024,-157.86929,0.0,178.2,511.0,PI""ILANI,IMO1172744,WDC6711,52,under way using engine,24,11,4.6,52",,,,,,,,
